"","genus","species","DBH","wd"
"1","Hirtella","Hirtella triandra",20,0.683
"2","Hirtella","Hirtella triandra",20,0.683
"3","Hirtella","Hirtella triandra",20,0.683
"4","Hirtella","Hirtella triandra",20,0.683
"5","Hirtella","Hirtella triandra",20.1,0.683
"6","Hirtella","Hirtella triandra",20.1,0.683
"7","Hirtella","Hirtella triandra",20.2,0.683
"8","Hirtella","Hirtella triandra",20.3,0.683
"9","Hirtella","Hirtella triandra",20.3,0.683
"10","Hirtella","Hirtella triandra",20.3,0.683
"11","Hirtella","Hirtella triandra",20.3,0.683
"12","Hirtella","Hirtella triandra",20.3,0.683
"13","Hirtella","Hirtella triandra",20.3,0.683
"14","Hirtella","Hirtella triandra",20.3,0.683
"15","Hirtella","Hirtella triandra",20.3,0.683
"16","Hirtella","Hirtella triandra",20.3,0.683
"17","Hirtella","Hirtella triandra",20.4,0.683
"18","Hirtella","Hirtella triandra",20.4,0.683
"19","Hirtella","Hirtella triandra",20.5,0.683
"20","Hirtella","Hirtella triandra",20.5,0.683
"21","Hirtella","Hirtella triandra",20.5,0.683
"22","Hirtella","Hirtella triandra",20.5,0.683
"23","Hirtella","Hirtella triandra",20.6,0.683
"24","Hirtella","Hirtella triandra",20.6,0.683
"25","Hirtella","Hirtella triandra",20.7,0.683
"26","Hirtella","Hirtella triandra",20.7,0.683
"27","Hirtella","Hirtella triandra",20.7,0.683
"28","Hirtella","Hirtella triandra",20.8,0.683
"29","Hirtella","Hirtella triandra",20.8,0.683
"30","Hirtella","Hirtella triandra",21,0.683
"31","Hirtella","Hirtella triandra",21,0.683
"32","Hirtella","Hirtella triandra",21,0.683
"33","Hirtella","Hirtella triandra",21,0.683
"34","Hirtella","Hirtella triandra",21,0.683
"35","Hirtella","Hirtella triandra",21.1,0.683
"36","Hirtella","Hirtella triandra",21.2,0.683
"37","Hirtella","Hirtella triandra",21.2,0.683
"38","Hirtella","Hirtella triandra",21.2,0.683
"39","Hirtella","Hirtella triandra",21.2,0.683
"40","Hirtella","Hirtella triandra",21.2,0.683
"41","Hirtella","Hirtella triandra",21.2,0.683
"42","Hirtella","Hirtella triandra",21.3,0.683
"43","Hirtella","Hirtella triandra",21.3,0.683
"44","Hirtella","Hirtella triandra",21.3,0.683
"45","Hirtella","Hirtella triandra",21.3,0.683
"46","Hirtella","Hirtella triandra",21.5,0.683
"47","Hirtella","Hirtella triandra",21.5,0.683
"48","Hirtella","Hirtella triandra",21.5,0.683
"49","Hirtella","Hirtella triandra",21.6,0.683
"50","Hirtella","Hirtella triandra",21.6,0.683
"51","Hirtella","Hirtella triandra",21.6,0.683
"52","Hirtella","Hirtella triandra",21.7,0.683
"53","Hirtella","Hirtella triandra",21.8,0.683
"54","Hirtella","Hirtella triandra",21.8,0.683
"55","Hirtella","Hirtella triandra",21.8,0.683
"56","Hirtella","Hirtella triandra",21.8,0.683
"57","Hirtella","Hirtella triandra",21.8,0.683
"58","Hirtella","Hirtella triandra",21.8,0.683
"59","Hirtella","Hirtella triandra",22,0.683
"60","Hirtella","Hirtella triandra",22,0.683
"61","Hirtella","Hirtella triandra",22.1,0.683
"62","Hirtella","Hirtella triandra",22.1,0.683
"63","Hirtella","Hirtella triandra",22.2,0.683
"64","Hirtella","Hirtella triandra",22.2,0.683
"65","Hirtella","Hirtella triandra",22.3,0.683
"66","Hirtella","Hirtella triandra",22.4,0.683
"67","Hirtella","Hirtella triandra",22.5,0.683
"68","Hirtella","Hirtella triandra",22.5,0.683
"69","Hirtella","Hirtella triandra",22.5,0.683
"70","Hirtella","Hirtella triandra",22.5,0.683
"71","Hirtella","Hirtella triandra",22.6,0.683
"72","Hirtella","Hirtella triandra",22.7,0.683
"73","Hirtella","Hirtella triandra",22.7,0.683
"74","Hirtella","Hirtella triandra",22.7,0.683
"75","Hirtella","Hirtella triandra",22.8,0.683
"76","Hirtella","Hirtella triandra",22.8,0.683
"77","Hirtella","Hirtella triandra",22.8,0.683
"78","Hirtella","Hirtella triandra",22.8,0.683
"79","Hirtella","Hirtella triandra",22.8,0.683
"80","Hirtella","Hirtella triandra",22.8,0.683
"81","Hirtella","Hirtella triandra",22.9,0.683
"82","Hirtella","Hirtella triandra",22.9,0.683
"83","Hirtella","Hirtella triandra",23,0.683
"84","Hirtella","Hirtella triandra",23,0.683
"85","Hirtella","Hirtella triandra",23.2,0.683
"86","Hirtella","Hirtella triandra",23.2,0.683
"87","Hirtella","Hirtella triandra",23.2,0.683
"88","Hirtella","Hirtella triandra",23.2,0.683
"89","Hirtella","Hirtella triandra",23.3,0.683
"90","Hirtella","Hirtella triandra",23.3,0.683
"91","Hirtella","Hirtella triandra",23.3,0.683
"92","Hirtella","Hirtella triandra",23.4,0.683
"93","Hirtella","Hirtella triandra",23.4,0.683
"94","Hirtella","Hirtella triandra",23.4,0.683
"95","Hirtella","Hirtella triandra",23.5,0.683
"96","Hirtella","Hirtella triandra",23.6,0.683
"97","Hirtella","Hirtella triandra",23.6,0.683
"98","Hirtella","Hirtella triandra",23.6,0.683
"99","Hirtella","Hirtella triandra",23.7,0.683
"100","Hirtella","Hirtella triandra",23.7,0.683
"101","Hirtella","Hirtella triandra",23.8,0.683
"102","Hirtella","Hirtella triandra",23.8,0.683
"103","Hirtella","Hirtella triandra",23.8,0.683
"104","Hirtella","Hirtella triandra",23.8,0.683
"105","Hirtella","Hirtella triandra",23.8,0.683
"106","Hirtella","Hirtella triandra",23.9,0.683
"107","Hirtella","Hirtella triandra",23.9,0.683
"108","Hirtella","Hirtella triandra",23.9,0.683
"109","Hirtella","Hirtella triandra",23.9,0.683
"110","Hirtella","Hirtella triandra",23.9,0.683
"111","Hirtella","Hirtella triandra",24,0.683
"112","Hirtella","Hirtella triandra",24,0.683
"113","Hirtella","Hirtella triandra",24,0.683
"114","Hirtella","Hirtella triandra",24.1,0.683
"115","Hirtella","Hirtella triandra",24.3,0.683
"116","Hirtella","Hirtella triandra",24.3,0.683
"117","Hirtella","Hirtella triandra",24.6,0.683
"118","Hirtella","Hirtella triandra",24.6,0.683
"119","Hirtella","Hirtella triandra",24.6,0.683
"120","Hirtella","Hirtella triandra",24.6,0.683
"121","Hirtella","Hirtella triandra",24.7,0.683
"122","Hirtella","Hirtella triandra",24.8,0.683
"123","Hirtella","Hirtella triandra",24.8,0.683
"124","Hirtella","Hirtella triandra",24.8,0.683
"125","Hirtella","Hirtella triandra",24.8,0.683
"126","Hirtella","Hirtella triandra",25,0.683
"127","Hirtella","Hirtella triandra",25,0.683
"128","Hirtella","Hirtella triandra",25.1,0.683
"129","Hirtella","Hirtella triandra",25.1,0.683
"130","Hirtella","Hirtella triandra",25.1,0.683
"131","Hirtella","Hirtella triandra",25.3,0.683
"132","Hirtella","Hirtella triandra",25.4,0.683
"133","Hirtella","Hirtella triandra",25.4,0.683
"134","Hirtella","Hirtella triandra",25.5,0.683
"135","Hirtella","Hirtella triandra",25.5,0.683
"136","Hirtella","Hirtella triandra",25.6,0.683
"137","Hirtella","Hirtella triandra",25.8,0.683
"138","Hirtella","Hirtella triandra",25.8,0.683
"139","Hirtella","Hirtella triandra",25.9,0.683
"140","Hirtella","Hirtella triandra",25.9,0.683
"141","Hirtella","Hirtella triandra",26,0.683
"142","Hirtella","Hirtella triandra",26,0.683
"143","Hirtella","Hirtella triandra",26.2,0.683
"144","Hirtella","Hirtella triandra",26.2,0.683
"145","Hirtella","Hirtella triandra",26.3,0.683
"146","Hirtella","Hirtella triandra",26.4,0.683
"147","Hirtella","Hirtella triandra",26.5,0.683
"148","Hirtella","Hirtella triandra",26.6,0.683
"149","Hirtella","Hirtella triandra",26.7,0.683
"150","Hirtella","Hirtella triandra",26.9,0.683
"151","Hirtella","Hirtella triandra",26.9,0.683
"152","Hirtella","Hirtella triandra",27,0.683
"153","Hirtella","Hirtella triandra",27,0.683
"154","Hirtella","Hirtella triandra",27,0.683
"155","Hirtella","Hirtella triandra",27.1,0.683
"156","Hirtella","Hirtella triandra",27.1,0.683
"157","Hirtella","Hirtella triandra",27.1,0.683
"158","Hirtella","Hirtella triandra",27.1,0.683
"159","Hirtella","Hirtella triandra",27.3,0.683
"160","Hirtella","Hirtella triandra",27.4,0.683
"161","Hirtella","Hirtella triandra",27.5,0.683
"162","Hirtella","Hirtella triandra",27.5,0.683
"163","Hirtella","Hirtella triandra",27.6,0.683
"164","Hirtella","Hirtella triandra",27.8,0.683
"165","Hirtella","Hirtella triandra",27.9,0.683
"166","Hirtella","Hirtella triandra",28,0.683
"167","Hirtella","Hirtella triandra",28,0.683
"168","Hirtella","Hirtella triandra",28,0.683
"169","Hirtella","Hirtella triandra",28.1,0.683
"170","Hirtella","Hirtella triandra",28.4,0.683
"171","Hirtella","Hirtella triandra",28.5,0.683
"172","Hirtella","Hirtella triandra",28.7,0.683
"173","Hirtella","Hirtella triandra",28.8,0.683
"174","Hirtella","Hirtella triandra",29.2,0.683
"175","Hirtella","Hirtella triandra",29.3,0.683
"176","Hirtella","Hirtella triandra",30,0.683
"177","Hirtella","Hirtella triandra",30,0.683
"178","Hirtella","Hirtella triandra",30.1,0.683
"179","Hirtella","Hirtella triandra",30.1,0.683
"180","Hirtella","Hirtella triandra",30.2,0.683
"181","Hirtella","Hirtella triandra",30.4,0.683
"182","Hirtella","Hirtella triandra",30.5,0.683
"183","Hirtella","Hirtella triandra",30.6,0.683
"184","Hirtella","Hirtella triandra",30.9,0.683
"185","Hirtella","Hirtella triandra",31,0.683
"186","Hirtella","Hirtella triandra",31,0.683
"187","Hirtella","Hirtella triandra",31.1,0.683
