"tag","dbh","lianaLoad","species","subplot","ptQuality","totVol","totVolSD","totArea","totAreaSD","trunkArea","trunkAreaSD","trunkVol","trunkVolSD","branchVol12","branchVol12SD","branchArea12","branchArea12SD","branchLen12","branchLen12SD","branchNo12","branchNo12SD"
359,50,0,"Alseis blackiana",94,"ok",2985.06,83.94,59.12,1.74,24.73,0.3,2068.94,16.08,916.12,80.5,34.4,1.61,154.32,9.14,70,7
360,45.4,0,"Quararibea asterolepis",94,"ok",2585.96,453.37,63.91,3.44,29.23,0.76,1875.69,405.18,710.28,94.39,34.68,3.41,161.37,18.76,75,10
361,81.8,0,"Quararibea asterolepis",94,"ok",7160.82,65.41,101.86,3.24,43.18,0.42,6078.92,57.07,1081.9,70.94,58.68,3.38,296.62,16.69,162,7
363,56.8,0,"Poulsenia armata",94,"ok",4420.51,70.19,69.06,2.49,34.7,0.23,3689.41,74.43,731.1,85.09,34.36,2.55,158.96,11.02,100,11
365,40,0,"Guarea guidonia",94,"ok",2958.52,57.86,75.1,3.14,22.04,0.48,1830.81,27.52,1127.71,38.57,53.06,2.85,255.46,18.94,140,12
366,80.4,0,"Quararibea asterolepis",94,"ok",9761.27,403.61,132.9,7.11,50.34,1.86,7383.04,191.81,2378.23,363.29,82.55,7.24,309.39,20.84,134,9
439,68.2,100,"Hura crepitans",92,"ok",5144.98,101.57,68.99,2.14,30.18,0.64,3591.45,104.36,1553.53,124.69,38.81,2.38,125.42,6.14,62,7
444,43.1,20,"Tetragastris panamensis",92,"ok",2540.66,226.73,58.05,1.28,23.58,0.09,1819.22,229.15,721.44,20.68,34.47,1.25,173.7,8.91,90,6
445,50,0,"Quararibea asterolepis",92,"ok",2729.68,79.3,46.22,2.41,27.71,0.76,2377.61,52.91,352.07,45.13,18.51,2.05,94.4,9.5,40,5
449,59.5,100,"Spondias radlkoferi",92,"ok",4708.75,148.01,60.53,4.74,30.81,0.4,3596.3,20.24,1112.45,144.91,29.72,4.69,85.5,18.21,42,14
507,73.8,100,"Hura crepitans",92,"ok",6821.19,114.8,89.04,3.59,39.64,0.68,4976.53,68.54,1844.66,92.36,49.4,3.86,161.09,17.1,78,10
517,39.7,0,"Trichilia tuberculata",92,"ok",1816.1,95.58,45.4,5.53,17.9,0.65,1347.15,35.45,468.95,69.67,27.49,4.99,146.57,35.24,71,23
518,43.6,0,"Quararibea asterolepis",92,"ok",1860.85,42.18,44.81,1.48,17.34,0.15,1320.34,11.43,540.51,41.84,27.48,1.52,137.76,7.1,95,7
520,81,100,"Luehea seemannii",92,"ok",5895.19,264.66,95.66,3.43,33.99,2.15,3633.37,255.87,2261.82,106.98,61.68,3.13,203.71,13.45,97,11
522,40.4,100,"Hura crepitans",92,"ok",2630.6,77.61,58.43,3.63,23.49,0.44,1963.72,18.99,666.88,62.92,34.93,3.31,183.97,17.9,119,17
584,40.5,5,"Protium tenuifolium",94,"ok",2918.36,80.09,89.95,3.21,20.56,0.74,1755.93,59.35,1162.43,52.53,69.38,2.84,406.89,20.97,292,18
588,78.2,0,"Virola surinamensis",94,"ok",10571.64,756.79,137.75,8.29,58.54,3.87,8829.79,773.45,1741.86,172.57,79.21,8.81,331.79,42.46,120,17
591,50.3,0,"Quararibea asterolepis",94,"ok",2646.5,78.23,63.4,4.55,21.89,0.5,1970.55,30.51,675.96,69.76,41.51,4.34,248.25,23.85,144,13
612,54.2,0,"Quararibea asterolepis",91,"ok",3316.9,91.91,90.77,5.23,23.31,0.26,1968.36,19.78,1348.54,97.45,67.47,5.19,317.99,28.25,181,18
673,84,5,"Chrysophyllum cainito",91,"ok",8455.19,299.11,132.39,7.05,46.05,1.54,6250.06,221.36,2205.13,223.51,86.34,6.43,335.91,26.53,151,15
681,44.8,100,"Beilschmiedia pendula",91,"ok",3099.97,271.08,62.88,6.64,24.8,1.1,2000.37,172.17,1099.6,168.75,38.08,5.98,130.19,23.6,52,14
684,85.3,0,"Dipteryx oleifera",91,"ok",11756.08,655.38,156.13,25.8,62.28,2.01,9734.98,242.32,2021.1,516.23,93.85,24.74,429.61,120.28,165,39
1071,41.6,80,"Drypetes standleyi",82,"ok",2562.44,97.06,73.88,4.71,22.16,0.25,1667.72,12.33,894.71,93.84,51.71,4.72,266.04,22.65,123,16
1072,42,50,"Quararibea asterolepis",82,"ok",2541.62,131.8,62.65,6.83,19.52,0.43,1584.58,23.71,957.03,122.88,43.12,6.78,194.58,36.84,121,28
1078,58.7,0,"Tabebuia guayacan",82,"ok",6224.36,344.56,86.64,6.52,40.77,1.88,4899.78,225.55,1324.57,297.14,45.87,6.14,168.14,17.9,65,8
1082,46.7,0,"Alseis blackiana",82,"ok",3145.88,40.03,63.85,1.69,27.75,0.55,2421.59,40.36,739.46,47.18,36.07,1.92,170.59,11.4,89,9
1280,36.3,0,"Poulsenia armata",82,"ok",2405.7,88.07,57.04,2.08,24,0.43,1847.06,79.79,558.64,27.17,33.04,1.84,179.74,14.26,115,11
1283,71.2,0,"Alseis blackiana",82,"ok",6873.65,159.21,127,5.13,36.58,0.53,4780.71,62.66,2092.94,159.7,90.42,5.43,410.18,26.51,184,19
1292,40.7,0,"Quararibea asterolepis",82,"ok",2171.36,188.76,51.95,2.64,23.26,0.23,1627.82,168.89,543.55,51.5,28.68,2.53,141.73,11.97,88,10
1293,116.1,0,"Luehea seemannii",82,"ok",8360.36,322.22,146.58,8.37,46.06,1.5,5639.69,218.43,2720.67,215.78,100.51,7.35,380.14,32.19,160,26
1715,33.8,20,"Guarea guidonia",77,"ok",1060.17,12.29,19.96,0.35,13.71,0.1,927.18,4.59,132.99,11.59,6.24,0.33,26.83,0.81,21,3
1717,47.8,0,"Quararibea asterolepis",77,"ok",2346.66,47.6,47.74,2.15,20.61,0.38,1774.9,15.91,571.75,39.24,27.13,2.05,136.78,12.84,84,9
1718,42,0,"Alseis blackiana",77,"ok",2139.03,110.96,54.13,1.4,19.78,0.37,1493.57,96.34,645.46,36.01,34.35,1.38,173.54,7.94,88,5
1722,58.5,0,"Tetragastris panamensis",77,"ok",5415.69,100.51,80.06,5.06,35.51,0.64,4551.3,34.26,864.39,83.84,44.56,4.82,226.58,23.7,130,13
1728,45.2,0,"Quararibea asterolepis",77,"ok",2629.91,93.78,56.31,3.54,24.71,0.26,2016.11,18.94,613.8,80.72,31.61,3.42,154.36,14.65,85,10
1729,40,5,"Heisteria concinna",77,"ok",2119.77,77.2,70.6,3.12,16.2,0.25,1237.57,13.35,882.21,69.49,54.4,3.03,303.98,13.58,188,14
1773,44,0,"Trichilia tuberculata",77,"ok",2984.45,136.57,81.57,2.34,20.23,0.59,1611.64,110.5,1372.81,40.21,61.34,2.1,279.33,13.44,124,6
1776,50.5,0,"Beilschmiedia pendula",77,"ok",3317.29,401.88,53,2.97,31.43,0.88,2807.32,415.57,509.97,84.83,21.57,2.8,91.4,10.54,41,5
