tag,dbh,lianaLoad,species,subplot,height,crownArea,crownDepth,crownVol,regQuality,ptQuality
206247,399,100,Prioria copaifera,19,29.434,36.9299645,18.569,149.6744519,good,no
614,402,0,Trichilia tuberculata,91,24.863,110.7922155,15.632,459.9841945,good,no
620,678,0,Beilschmiedia pendula,91,35.734,126.7972935,15.253,737.9116426,good,no
5654,442,0,Lonchocarpus heptaphyllus,31,31.044,51.5565765,9.292,163.9010191,good,no
6192,478,0,Lonchocarpus heptaphyllus,24,33.705,70.568785,16.834,204.3440793,good,no
6193,725,0,Brosimum alicastrum,24,33.748,98.0500685,15.187,275.1730681,good,no
6562,398,0,Quararibea asterolepis,19,28.3,50.363143,12.038,322.3051563,good,no
64185,341,0,Lonchocarpus heptaphyllus,77,29.578,54.5850725,11.107,229.3338256,bad,no
72086,322,0,Quararibea asterolepis,74,25.42,37.054593,10.877,140.5572841,bad,no
180870,498,5,Jacaranda copaia,28,29.595,76.2596105,7.594,225.7975971,good,no
633191,410,0,Guazuma ulmifolia,68,27.218,98.7485225,16.797,535.0342121,good,no
359,500,0,Alseis blackiana,94,30.523,93.147036,16.663,393.0355016,good,ok
360,454,0,Quararibea asterolepis,94,33.062,76.956344,12.598,408.0760012,good,ok
361,818,0,Quararibea asterolepis,94,33.482,95.3086175,19.268,755.4022243,good,ok
363,568,0,Poulsenia armata,94,34.216,86.5519945,20.005,395.4428799,good,ok
365,400,0,Guarea guidonia,94,25.646,96.4493295,18.386,558.8527679,good,ok
366,804,0,Quararibea asterolepis,94,34.396,165.2050805,18.336,1050.698348,good,ok
439,682,100,Hura crepitans,92,26.368,64.9262625,15.617,169.5730281,good,ok
444,431,20,Tetragastris panamensis,92,26.424,84.458714,13.923,194.9126344,good,ok
445,500,0,Quararibea asterolepis,92,30.035,66.382659,9.261,322.5904468,good,ok
449,595,100,Spondias radlkoferi,92,25.38,56.332575,11.219,27.67306228,good,ok
507,738,100,Hura crepitans,92,33.096,85.9929315,17.735,296.8023254,good,ok
517,397,0,Trichilia tuberculata,92,23.731,51.6820095,9.463,292.8862468,good,ok
518,436,0,Quararibea asterolepis,92,23.107,65.7711385,11.556,222.976062,good,ok
520,810,100,Luehea seemannii,92,28.057,88.254155,18.466,283.1767004,good,ok
522,404,100,Hura crepitans,92,28.485,59.0757605,18.704,184.3174893,good,ok
584,405,5,Protium tenuifolium,94,25.323,104.2827245,19.272,618.5016103,good,ok
588,782,0,Virola surinamensis,94,39.525,210.0293895,18.81,1021.656276,good,ok
591,503,0,Quararibea asterolepis,94,24.857,79.1361755,15.193,456.7918221,good,ok
612,542,0,Quararibea asterolepis,91,29.834,104.3671725,19.064,677.0902115,good,ok
673,840,5,Chrysophyllum cainito,91,36.196,222.566721,22.835,1434.759119,good,ok
681,448,100,Beilschmiedia pendula,91,28.138,92.5804235,10.704,438.0967715,good,ok
684,853,0,Dipteryx oleifera,91,41.778,551.651501,17.566,3049.71317,good,ok
1071,416,80,Drypetes standleyi,82,28.517,120.521372,12.825,720.0450407,good,ok
1072,420,50,Quararibea asterolepis,82,27.362,92.777776,17.65,440.1573425,good,ok
1078,587,0,Tabebuia guayacan,82,35.194,152.639524,15.641,726.8386412,good,ok
1082,467,0,Alseis blackiana,82,33.153,61.5901705,17.712,387.7267765,good,ok
1280,363,0,Poulsenia armata,82,30.51,70.426096,15.659,254.0349298,good,ok
1283,712,0,Alseis blackiana,82,29.83,176.0592935,17.319,1128.131118,good,ok
1292,407,0,Quararibea asterolepis,82,32.833,55.799285,12.493,243.6078492,good,ok
1293,1161,0,Luehea seemannii,82,37.305,325.1645265,19.844,1969.96099,good,ok
1715,338,20,Guarea guidonia,77,19.272,5.985857,6.082,9.012520406,good,ok
1717,478,0,Quararibea asterolepis,77,26.124,77.2283865,12.043,238.8345605,good,ok
1718,420,0,Alseis blackiana,77,29.196,59.378395,16.105,308.0107957,bad,ok
1722,585,0,Tetragastris panamensis,77,28.446,117.797605,14.055,559.2139532,good,ok
1728,452,0,Quararibea asterolepis,77,31.272,75.178432,12.659,323.9263179,good,ok
1729,400,5,Heisteria concinna,77,21.866,105.949046,16.632,422.2775255,good,ok
1773,440,0,Trichilia tuberculata,77,27.229,129.112199,16.498,856.4448418,good,ok
1776,505,0,Beilschmiedia pendula,77,32.227,88.506799,12.967,411.3686425,good,ok
1783,496,0,Trichilia tuberculata,77,29.443,145.2201115,21.212,809.2137082,good,ok
1979,540,0,Quararibea asterolepis,74,29.815,114.8386975,10.52,488.3660126,good,ok
1983,440,0,Quararibea asterolepis,74,21.999,29.301759,12.315,133.6506034,good,ok
1985,435,85,Quararibea asterolepis,74,27.581,72.109973,14.24,308.1834114,good,ok
2170,610,20,Trichilia tuberculata,74,29.813,116.6121975,16.292,429.7639839,good,ok
2173,685,0,Brosimum alicastrum,74,33.889,300.607375,19.028,2156.048176,good,ok
