"subplot","lianaAGB"
1,500.4821632
5,974.7291303
8,667.64260016
11,638.9741261
14,557.79892673
15,722.05577999
18,628.40839155
19,649.2613105
20,226.00216226
23,533.4711943
24,337.84413122
28,766.98815839
31,921.9206423
36,1006.519184
40,640.2679719
47,193.16855425
49,509.61477684
51,444.23519428
58,290.7973949
59,556.3940645
64,494.56397933
65,312.64946135
68,646.24065477
69,1140.8995026
72,783.7455809
74,458.95092416
77,434.93605602
82,217.69308856
83,318.62012577
90,735.6744658
91,425.65003791
92,772.674217
94,233.033538
