Subplot number,Tag,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,,,
68,93079,Alchornea costaricensis,213,3315,12,0,5,,,,
1,8209,Alseis blackiana,504,121,43,0,100,broken crown,,,
5,247438,Alseis blackiana,297,312,44,0,100,broken crown,,,
19,211432,Alseis blackiana,218,1008,14,0,5,,,,
19,6561,Alseis blackiana,420,1107,13,0,85,,,,
20,6745,Alseis blackiana,715,1014,21,0,0,,,,
24,6184,Alseis blackiana,250,1311,21,0,5,,,,
24,191977,Alseis blackiana,368,1410,44,0,100,,,,
28,185884,Alseis blackiana,311,1504,12,0,5,,,,
47,4931,Alseis blackiana,349,2203,11,0,90,,,,
58,115787,Alseis blackiana,284,2805,14,0,5,,,,
58,3600,Alseis blackiana,462,2906,23,0,100,,,,
58,3602,Alseis blackiana,473,2906,11,0,100,,,,
58,3612,Alseis blackiana,540,2905,21,0,100,,,,
59,3731,Alseis blackiana,305,2812,43,0,10,,,,
59,3554,Alseis blackiana,470,2913,33,0,100,,,,
65,97203,Alseis blackiana,252,3211,31,0,80,,,,
69,88116,Alseis blackiana,201,3417,43,0,75,,,,
69,2467,Alseis blackiana,520,3517,32,0,100,,,,
72,2497,Alseis blackiana,310,3513,12,0,95,,,,
72,2326,Alseis blackiana,592,3612,11,0,100,,,,
77,57043,Alseis blackiana,275,4020,43,0,5,,,,
77,1775,Alseis blackiana,396,3921,24,0,60,,,,
77,1718,Alseis blackiana,420,4020,42,0,5,,,,
82,1082,Alseis blackiana,467,4314,22,0,100,sub correcte: 1,,,
82,1283,Alseis blackiana,712,4215,12,0,25,,,,
83,14994,Alseis blackiana,402,4406,43,0,10,,,,
90,780,Alseis blackiana,319,4507,34,0,5,,,,
90,779,Alseis blackiana,549,4507,34,0,100,,,,
92,513,Alseis blackiana,419,4604,43,0,100,broken crown,,,
94,359,Alseis blackiana,500,4717,21,0,100,,,,
40,160704,Aspidosperma spruceanum,256,2004,11,0,100,,,,
40,4930,Aspidosperma spruceanum,635,2103,22,0,100,,,,
59,3730,Aspidosperma spruceanum,540,2812,33,0,100,,,,
74,2178,Aspidosperma spruceanum,1059,3710,33,0,100,,,,
14,7391,Astronium graveolens,606,612,31,0,100,,,,
36,5221,Astronium graveolens,844,1907,41,0,100,,,,
40,721070,Attalea butyracea,375,2104,21,0,5,,,,
74,2172,Attalea butyracea,340,3711,12,0,5,,,,
5,247264,Beilschmiedia pendula,433,312,14,0,100,,,,
69,82848,Beilschmiedia pendula,359,3517,42,0,25,,,,
72,2496,Beilschmiedia pendula,515,3513,24,0,100,,,,
77,1776,Beilschmiedia pendula,505,3921,14,0,100,,,,
83,41007,Beilschmiedia pendula,353,4306,14,0,100,,,,
91,29020,Beilschmiedia pendula,204,4620,23,0,100,,,,
91,29258,Beilschmiedia pendula,265,4621,32,0,30,,,,
91,620,Beilschmiedia pendula,678,4621,22,0,100,,,,
94,28496,Beilschmiedia pendula,411,4617,41,0,100,,,,
24,6193,Brosimum alicastrum,725,1310,13,0,100,,,,
47,4609,Brosimum alicastrum,440,2302,13,0,90,,,,
49,4524,Brosimum alicastrum,1200,2316,23,0,100,,,,
58,3681,Brosimum alicastrum,885,2805,23,0,100,,,,
74,2173,Brosimum alicastrum,685,3711,41,0,100,,,,
72,82237,Casearia arborea,278,3513,21,0,100,,,,
1,263536,Cassipourea elliptica,206,20,34,0,50,,,,
58,3603,Cavanillesia platanifolia,1325,2906,21,0,100,,,,
65,3031,Cavanillesia platanifolia,662,3211,13,0,10,,,,
8,405283,Cecropia insignis,424,512,23,0,100,,,,
11,505102,Cecropia insignis,206,505,21,0,100,,,,
11,505099,Cecropia insignis,303,505,21,0,100,,,,
14,407462,Cecropia insignis,328,712,21,0,100,,,,
18,409488,Cecropia insignis,234,920,12,0,100,,,,
23,613031,Cecropia insignis,255,1305,11,0,100,,,,
23,414129,Cecropia insignis,302,1404,43,0,100,,,,
23,613049,Cecropia insignis,304,1305,22,0,100,,,,
23,613037,Cecropia insignis,348,1305,12,0,100,,,,
23,513042,Cecropia insignis,377,1304,12,0,100,,,,
51,141903,Cecropia insignis,325,2409,34,0,100,,,,
65,97121,Cecropia insignis,290,3211,14,0,100,,,,
68,633185,Cecropia insignis,271,3315,23,0,100,,,,
68,633195,Cecropia insignis,394,3315,22,0,100,,,,
74,72061,Cecropia insignis,245,3710,41,0,100,,,,
23,713072,Cecropia obtusifolia,235,1305,41,0,100,,,,
47,722048,Cecropia obtusifolia,213,2202,31,0,90,,,,
36,5213,Ceiba pentandra,2130,1908,22,0,100,,,,
58,3608,Ceiba pentandra,1453,2905,23,0,110,,,,
90,31343,Celtis schippii,239,4507,13,0,25,,,,
94,28183,Chimarrhis parviflora,225,4616,43,0,5,,,,
40,160715,Chrysophyllum argenteum,222,2004,12,0,0,broken crown,,,
5,252059,Cordia bicolor,280,211,12,0,100,broken crown,,,
23,414136,Cordia bicolor,211,1404,43,0,5,,,,
28,186159,Cordia bicolor,200,1505,31,0,10,,,,
65,2868,Cordia bicolor,383,3311,43,0,90,,,,
91,29133,Cordia bicolor,229,4620,42,0,100,,,,
8,7715,Dipteryx oleifera,1240,411,32,0,100,,,,
14,7221,Dipteryx oleifera,720,713,14,0,100,,,,
15,7173,Dipteryx oleifera,1107,720,44,0,100,,,,
65,2854,Dipteryx oleifera,625,3312,31,0,100,,,,
91,684,Dipteryx oleifera,853,4520,21,0,100,,,,
47,4606,Drypetes standleyi,288,2303,31,0,5,,,,
47,4653,Drypetes standleyi,557,2203,31,0,90,,,,
74,72208,Drypetes standleyi,229,3711,43,0,0,,,,
82,18029,Drypetes standleyi,219,4214,42,0,5,,,,
92,521,Drypetes standleyi,243,4605,41,0,5,,,,
92,20742,Drypetes standleyi,278,4704,41,0,0,,,,
51,141770,Eugenia oerstediana,255,2409,11,0,25,,,,
68,87583,Eugenia oerstediana,202,3415,11,0,5,,,,
59,3559,Guapira standleyana,278,2912,42,0,100,,,,
20,6750,Guarea guidonia,380,1014,12,0,0,,,,
47,4601,Guarea guidonia,319,2303,43,0,5,,,,
58,110995,Guarea guidonia,213,2905,14,0,25,,,,
65,97189,Guarea guidonia,281,3211,21,0,5,,,,
82,1081,Guarea guidonia,359,4314,22,0,10,,,,
91,618,Guarea guidonia,298,4620,22,0,80,,,,
94,368,Guarea guidonia,243,4716,33,0,0,,,,
94,365,Guarea guidonia,400,4716,14,0,75,,,,
11,235969,Guatteria dumetorum,450,505,44,0,100,,,,
15,228661,Guatteria dumetorum,289,720,21,0,100,,,,
28,5631,Guatteria dumetorum,633,1604,41,0,100,,,,
68,633214,Guazuma ulmifolia,232,3315,33,0,5,,,,
68,633191,Guazuma ulmifolia,410,3315,23,0,100,,,,
18,7110,Gustavia superba,286,919,13,0,5,,,,
28,5632,Gustavia superba,215,1604,41,0,0,,,,
58,3685,Gustavia superba,245,2805,43,0,50,,,,
59,3728,Gustavia superba,258,2812,24,0,25,,,,
65,2860,Gustavia superba,245,3311,14,0,5,,,,
77,1719,Gustavia superba,313,4020,31,0,5,,,,
92,512,Gustavia superba,220,4604,42,0,90,,,,
94,22669,Gustavia superba,202,4716,43,0,5,,,,
1,8212,Heisteria concinna,389,120,24,0,50,,,,
74,72143,Heisteria concinna,205,3711,22,0,0,,,,
74,1987,Heisteria concinna,328,3811,24,0,5,,,,
77,58414,Heisteria concinna,219,4021,13,0,5,,,,
77,1721,Heisteria concinna,240,4020,32,0,5,broken crown,,,
83,41183,Heisteria concinna,202,4307,14,0,0,,,,
92,443,Heisteria concinna,298,4704,14,0,50,,,,
65,97320,Hirtella triandra,212,3212,13,0,50,,,,
65,92372,Hirtella triandra,220,3312,11,0,15,,,,
82,18076,Hirtella triandra,218,4215,13,0,5,,,,
92,25739,Hirtella triandra,204,4604,11,0,10,,,,
