,tag,spcode,liana_merge,MaxHt,dbh_use,q20
643,53223,tachve,2,24.4,205,4116
1229,112501,hirttr,4,17.6,206,2913
933,236382,hyeral,3,21.6,207,508
929,218680,poutre,3,15.5,208,919
695,230365,hirttr,2,16.8,210,601
1190,29396,guargu,4,16.9,210,NA
419,714091,guazul,1,31.1,212,1405
685,844635,tremin,2,17.6,212,4424
927,214395,tri2tu,3,19,213,1021
908,102851,pri2co,3,16.8,214,3114
640,29289,protpa,2,22.1,214,4621
1004,263544,protte,3,21.5,216,20
1280,264118,gustsu,4,18.9,217,24
372,69356,tri2tu,1,17,217,3823
1230,116538,tab2ar,4,11.5,218,2809
1193,29696,poular,4,16.8,219,4623
639,23350,ingasa,2,29.5,219,4718
1231,117281,tri2tu,4,17.8,224,2813
324,3151,gustsu,1,20.8,224,3122
1223,89011,alsebl,4,23.1,224,3422
931,222163,virose,3,15.6,225,811
495,401736,cordbi,1,22.8,227,1624
1027,264285,hassfl,3,11.4,227,NA
1288,411458,ingama,4,15.7,227,NA
669,208822,eugeoe,2,21.1,228,1121
1080,2435,gustsu,4,12.8,228,3521
940,264117,eugeoe,3,15.8,229,24
1270,250362,alsebl,4,15.3,229,201
144,69399,tet2pa,0,16,229,3823
293,700477,zantbe,0,22.3,235,20
935,240050,protte,3,22.1,235,400
1156,7106,swars1,4,18.5,235,818
294,713072,cecrob,0,32,235,1305
1203,63677,alsebl,4,16.3,235,3918
985,5410,protte,3,20.3,236,1821
1099,3471,gustsu,4,20.3,236,3023
1169,7962,mar1la,4,24.6,237,302
1214,73951,alsebl,4,18,237,3722
1267,241619,virose,4,23.9,238,408
1259,208865,tri2tu,4,23.6,238,NA
1209,73028,tri2tu,4,21.4,239,3716
312,2066,protte,1,30.5,240,3823
651,78014,tri2tu,2,25.4,242,3618
681,542360,cecrin,2,29.5,242,4217
364,34035,tri2tu,1,34.3,242,4520
930,221133,simaam,3,21.7,243,807
1220,88542,gustsu,4,16.2,243,3420
1254,202078,tab2ar,4,16.1,244,1212
1128,5355,heisco,4,15.9,244,1815
1078,2433,alsebl,4,15,245,3522
1060,1791,alsebl,4,17.4,247,NA
1257,204544,hassfl,4,17.1,247,NA
1293,644360,tab2ar,4,22.5,248,4424
837,4191,tri2tu,3,22.9,249,2512
1041,351,tripcu,4,35.1,249,4718
1284,282581,alchco,4,13.8,250,1720
1202,63519,alsebl,4,15.9,250,3917
1101,3496,luehse,4,16.1,251,2922
950,510339,sponmo,3,26.1,252,1021
402,711215,ingath,1,15.5,252,1116
1238,128962,tri2tu,4,13.3,253,4922
663,148396,poutre,2,25.3,254,2320
1205,64685,beilpe,4,32.2,254,3923
1291,431932,tet2pa,4,17.3,254,NA
905,72938,tri2tu,3,19.9,255,3715
1362,29851,apeime,4,25.3,255,4624
179,818043,cecrin,0,22.4,255,NA
1226,104151,ingasa,4,26.3,255,NA
1210,73067,tri2tu,4,19.3,258,3716
1289,415579,cordal,4,18,259,1516
903,63315,eugeco,3,29,259,3916
433,1800,guargu,1,17.9,259,3917
694,195876,tri2pa,2,18.4,260,1324
374,78752,alsebl,1,25,260,3623
415,158188,tri2tu,1,24.2,261,2119
670,214563,virose,2,31.3,262,1022
1305,7401,tet2pa,4,31.2,263,613
24,812297,tremin,0,23.1,263,1223
7,1037,cordbi,0,30,264,4319
1093,3162,ade1tr,4,18.1,264,NA
1255,203810,tab2ar,4,20,265,1221
693,188571,tri2tu,2,21.1,266,1520
951,612150,crotbi,3,16.4,269,1211
1216,77889,tri2tu,4,25.1,270,3617
1208,72932,geniam,4,20.9,270,3715
