Tag,q20,Species,DBH_cm,Height,Crown area,Lianas,Illumination,liana 0 H,liana  1 H,liana 2 H,actual H,liana0 cpa,actual cpa,liana 0 vol,actual vol
1848,3910,protte,39,24.6,54.4,0,,27.00507292,26.486413,24.42802808,27.00507292,67.4961957,67.4961957,2446.530006,2446.530006
38501,4420,beilpe,39,30.6,30.8,0,,27.00507292,26.486413,24.42802808,27.00507292,67.4961957,67.4961957,2446.530006,2446.530006
4416,2419,beilpe,39,29.2,55.4,0,,27.00507292,26.486413,24.42802808,27.00507292,67.4961957,67.4961957,2446.530006,2446.530006
195107,1321,jac1co,39,25.9,38.8,2,,27.00507292,26.486413,24.42802808,24.42802808,67.4961957,39.72859622,2446.530006,1969.797548
2026,3817,alsebl,39,20.8,156.1,2,,27.00507292,26.486413,24.42802808,24.42802808,67.4961957,39.72859622,2446.530006,1969.797548
2537,3507,tri2tu,39,22.4,50.1,2,,27.00507292,26.486413,24.42802808,24.42802808,67.4961957,39.72859622,2446.530006,1969.797548
6439,1221,tri2tu,39.1,29.6,60.1,0,,27.03120375,26.51212597,24.4519264,27.03120375,67.75249266,67.75249266,2459.860318,2459.860318
77147,3613,pri2co,39.1,21.6,56.5,0,3,27.03120375,26.51212597,24.4519264,27.03120375,67.75249266,67.75249266,2459.860318,2459.860318
7968,301,tab2ar,39.1,21.3,35.4,2,,27.03120375,26.51212597,24.4519264,24.4519264,67.75249266,39.87945389,2459.860318,1980.539155
2458,3518,alsebl,39.2,31.6,149.4,0,,27.05727016,26.53777637,24.47576937,27.05727016,68.00910446,68.00910446,2473.228059,2473.228059
235798,504,guatdu,39.2,29.8,85.6,0,,27.05727016,26.53777637,24.47576937,27.05727016,68.00910446,68.00910446,2473.228059,2473.228059
83587,3522,termob,39.2,22,66.2,1,,27.05727016,26.53777637,24.47576937,26.53777637,68.00910446,57.37688864,2473.228059,2319.501259
30272,4501,poutre,39.2,25.5,61,2,,27.05727016,26.53777637,24.47576937,24.47576937,68.00910446,40.03049687,2473.228059,1991.311077
84733,3519,ast2gr,39.3,31.1,42.9,0,,27.08327245,26.56336449,24.49955722,27.08327245,68.26603066,68.26603066,2486.633236,2486.633236
158181,2119,tet2pa,39.3,26.8,64.4,0,,27.08327245,26.56336449,24.49955722,27.08327245,68.26603066,68.26603066,2486.633236,2486.633236
305329,4011,ingape,39.3,21.5,105.6,0,,27.08327245,26.56336449,24.49955722,27.08327245,68.26603066,68.26603066,2486.633236,2486.633236
4642,2201,poular,39.3,31.6,66.1,0,,27.08327245,26.56336449,24.49955722,27.08327245,68.26603066,68.26603066,2486.633236,2486.633236
63940,3920,tri2tu,39.3,26.5,55.4,1,,27.08327245,26.56336449,24.49955722,26.56336449,68.26603066,57.59364824,2486.633236,2332.076345
261975,11,cordbi,39.4,19.9,70,0,,27.10921088,26.58889058,24.52329019,27.10921088,68.52327086,68.52327086,2500.075853,2500.075853
633195,3315,cecrin,39.4,25.5,119.7,0,4,27.10921088,26.58889058,24.52329019,27.10921088,68.52327086,68.52327086,2500.075853,2500.075853
1348,4222,tri2tu,39.4,27.6,17.5,0,4,27.10921088,26.58889058,24.52329019,27.10921088,68.52327086,68.52327086,2500.075853,2500.075853
4684,2208,quaras,39.4,30.2,57.5,1,,27.10921088,26.58889058,24.52329019,26.58889058,68.52327086,57.81067274,2500.075853,2344.686592
