family,genus,species,full name,lf2,lf3,lifeform,breeding,dsp2,dsp3,maxht,DIAM_AVG,DBH_SEM,HEIGHT_SEM,DIAM_SEM,DBH_N,HEIGHT_N,DIAM_N,RGR_10,N_RGR10,RGR_50,N_RGR50,RGR_100,N_RGR100,MORT_10,N_MORT10,MORT_100,N_MORT100,wsgbest,lmadiscbest
Anacardiaceae,Anacardium,excelsum,Anacardium excelsum,Free standing,Tree,TREE,BISEX,Biotic,Animal,35.11484354,12.20283333,61.08336744,1.352653474,0.661927391,6,6,5,5.400333333,3,1.76125,8,0.541863636,88,7.852,15,0.715477477,111,0.420666804,43.60530456
Tiliaceae,Apeiba,membranacea,Apeiba membranacea,Free standing,Tree,TREE,BISEX,Biotic,Animal,28.37550231,9.269285714,66.93579013,2.350919597,0.352142857,5,5,2,3.9935,96,2.091358779,262,0.799334759,935,4.507941048,458,1.942189983,1158,0.321387556,24.35004121
Lauraceae,Beilschmiedia,tovarensis,Beilschmiedia tovarensis,Free standing,Tree,TREE,BISEX,Biotic,Animal,34.17951447,7.183480952,25.03197955,1.620137494,0.33000263,5,5,5,1.923621144,7747,0.993055295,1067,0.887222848,1243,2.096271323,11197,1.454830976,1485,0.527503989,69.84715666
Moraceae,Brosimum,alicastrum,Brosimum alicastrum,Free standing,Tree,TREE,DIO,Biotic,Animal,37.40324049,10.05506944,33.0571895,1.781626953,0.695754507,6,6,6,2.109704788,2151,0.978778239,1204,0.530401062,753,0.635992678,3551,1.272595264,929,0.671531363,48.12317375
Bombacaceae,Cavanillesia,platanifolia,Cavanillesia platanifolia,Free standing,Tree,TREE,BISEX,Abiotic,Wind,41.11773674,9.335865079,129.7081339,0.795630813,0.728958173,6,6,6,10.805,3,12.84533333,3,0.887461538,78,3.46325,8,1.131392157,102,0.197714953,29.55720387
Bombacaceae,Ceiba,pentandra,Ceiba pentandra,Free standing,Tree,TREE,BISEX,Abiotic,Wind,37.47828936,18.29469048,36.49969558,1.825271885,1.012227939,6,6,5,10.22867647,34,2.324794118,34,0.744881188,101,9.674962963,108,1.817070707,198,0.304500544,132.7039784
Myrtaceae,Eugenia,galalonensis,Eugenia galalonensis,Free standing,Tree,MIDSTORY,BISEX,Biotic,Animal,16.09042981,3.39685,26.47376059,1.936775695,0.574318115,5,5,5,1.754203917,5463,1.09129078,282,1.215820896,67,1.177940462,6500,5.598944444,90,0.6362659,63.76713868
Clusiaceae,Garcinia,recondita,Garcinia recondita,Free standing,Tree,TREE,DIO,Biotic,Animal,15.89250961,3.349515306,32.73299527,2.477957404,0.471207482,7,7,7,1.87944397,16866,1.283565556,1800,0.793158442,385,0.962934452,20199,2.487271689,438,0.653861658,102.2327115
Chrysobalanaceae,Hirtella,triandra,Hirtella triandra,Free standing,Tree,MIDSTORY,BISEX,Biotic,Animal,22.71919755,4.76125,24.12697891,2.014288134,0.469624739,3,3,3,2.114056863,14913,1.394794536,3441,0.756151483,2832,1.35827581,20525,1.14432878,3075,0.606175461,50.92436503
Euphorbiaceae,Hura,crepitans,Hura crepitans,Free standing,Tree,TREE,MONO,Abiotic,Explosive,35.03105308,11.10667857,118.1890858,1.484932779,0.601905895,5,5,5,1.530678571,28,1.627526316,38,0.718168269,416,4.295916667,84,0.620533199,497,0.367333,27.64666217
